"","Season","Name","Team","G","AB","PA","H","Singles","Doubles","Triples","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","playerid","TotalBases","Points"
"459",1942,"Vince DiMaggio","Pirates",143,496,560,118,78,22,3,15,57,75,52,NA,87,1,NA,11,13,10,NA,0.238,1003312,191,299
"460",1989,"Andy Van Slyke","Pirates",130,476,532,113,77,18,9,9,64,53,47,3,100,3,4,1,13,16,4,0.237,1013363,176,259
"461",1993,"Kevin Young","Pirates",141,449,508,106,73,24,3,6,38,47,36,3,82,9,9,5,9,2,2,0.236,1018,154,204
"462",1992,"Jose Lind","Pirates",135,468,507,110,95,14,1,0,38,39,26,12,29,1,4,7,14,3,1,0.235,1007623,126,204
"463",1978,"Omar Moreno","Pirates",155,515,621,121,97,15,7,2,95,33,81,4,104,3,5,17,5,71,22,0.235,1009167,156,335
"464",2002,"Aramis Ramirez","Pirates",142,522,570,122,78,26,0,18,51,71,29,3,95,8,11,0,17,2,0,0.234,1002,202,268
"465",2013,"Pedro Alvarez","Pirates",152,558,614,130,70,22,2,36,70,100,48,7,186,4,4,0,16,2,0,0.233,2495,264,302
"466",1954,"Curt Roberts","Pirates",134,496,565,115,89,18,7,1,47,36,55,NA,49,2,3,9,6,6,3,0.232,1011026,150,247
"467",1989,"Jose Lind","Pirates",153,578,637,134,108,21,3,2,52,48,39,7,64,2,5,13,13,15,1,0.232,1007623,167,259
"468",2001,"Kevin Young","Pirates",142,449,507,104,57,33,0,14,53,65,42,3,119,11,5,0,17,15,11,0.232,1018,179,246
"469",1992,"Jeff King","Pirates",130,480,522,111,74,21,2,14,56,65,27,3,56,2,5,8,8,4,6,0.231,1006931,178,276
"470",1963,"Bob Bailey","Pirates",154,570,640,130,100,15,3,12,60,45,58,2,98,5,3,4,9,10,9,0.228,1000420,187,267
"471",1942,"Pete Coscarart","Pirates",133,487,536,111,92,12,4,3,57,29,38,NA,56,3,NA,8,8,2,NA,0.228,1002649,140,213
"472",1920,"Charlie Grimm","Pirates",148,533,581,121,99,13,7,2,38,54,30,NA,40,4,NA,14,NA,7,8,0.227,1005068,154,247
"473",2013,"Russell Martin","Pirates",127,438,506,99,63,21,0,15,51,55,58,2,108,8,1,1,13,9,5,0.226,4616,165,238
"474",1951,"George Strickland","Pirates",138,454,528,98,70,12,7,9,59,47,65,NA,83,3,NA,6,9,4,2,0.216,1012615,151,246
"475",1954,"Gair Allie","Pirates",121,418,482,83,66,8,6,3,38,30,56,NA,84,2,3,3,3,1,1,0.199,1000162,112,155
